### Grasense measure data file ###
#
#   Measure Mode : VDS = 0.050 V  × 16 oversample   
#   Sweep variable : VGS
#   Sweep points : 121
#   Active channels : 12
#  
#  
#
#       
#       
#       
#
#     
#       
#    
#
# (V)	A1 (µA) 	A2 (µA) 	A3 (µA) 	A4 (µA) 	A5 (µA) 	A6 (µA) 	B1 (µA) 	B2 (µA) 	B3 (µA) 	B4 (µA) 	B5 (µA) 	B6 (µA) 
0.3300	 49.2394859	 46.0192619	 43.7817702	 49.9549127	 46.3152452	 45.4608362	 37.8808678	 43.2977578	 45.2371135	 45.1542767	 44.1591208	 44.8200894
0.3400	 47.6328690	 44.4672139	 42.2498606	 48.1653583	 44.7651486	 43.8754046	 36.6959124	 41.7930956	 43.7938774	 43.4175715	 42.6100958	 43.2709514
0.3500	 45.9793612	 42.8688884	 40.6772787	 46.3379876	 43.1782193	 42.2570797	 35.3604794	 40.2532203	 42.2857386	 41.6483351	 41.0251562	 41.6850628
0.3600	 44.2978405	 41.2389682	 39.0706099	 44.4666126	 41.5428094	 40.5961277	 34.0262397	 38.6769532	 40.7569839	 39.8393191	 39.4056665	 40.0620226
0.3700	 42.5829134	 39.5766167	 37.4377607	 42.5717185	 39.8755032	 38.9063707	 32.7425865	 37.0702225	 39.1834396	 37.9909813	 37.7471127	 38.3938838
0.3800	 40.8228690	 37.8714855	 35.7487106	 40.6269734	 38.1586280	 37.1560255	 31.4258598	 35.4124588	 37.5453290	 36.0852575	 36.0256860	 36.6748109
0.3900	 39.0091322	 36.1169644	 34.0300636	 38.6385761	 36.3996443	 35.3722451	 29.9706668	 33.7114480	 35.8612938	 34.1412675	 34.2562362	 34.9079992
0.4000	 37.1725049	 34.3280554	 32.2788758	 36.6260517	 34.6113289	 33.5578911	 28.4518476	 31.9803195	 34.1414086	 32.1895796	 32.4666093	 33.1169980
0.4100	 35.3138393	 32.5264315	 30.5043293	 34.5926360	 32.7952961	 31.7260024	 26.9969543	 30.2182830	 32.3857024	 30.2122490	 30.6535001	 31.2941588
0.4200	 33.4272769	 30.6848169	 28.7018460	 32.5267211	 30.9492036	 29.8644739	 25.5609201	 28.4254532	 30.5783866	 28.2205685	 28.7906234	 29.4348132
0.4300	 31.5034289	 28.8066588	 26.8723420	 30.4298289	 29.0600811	 27.9782542	 24.0049293	 26.5847186	 28.7337420	 26.2113780	 26.8978646	 27.5342803
0.4400	 29.5763886	 26.9285635	 25.0536278	 28.3496002	 27.1938940	 26.1337693	 22.3811692	 24.7505785	 26.8918394	 24.2585592	 25.0240111	 25.6582341
0.4500	 27.6780764	 25.0860787	 23.2734560	 26.3117991	 25.3574080	 24.3271427	 20.8611708	 22.9420583	 25.0654427	 22.3710316	 23.1864461	 23.8126346
0.4600	 25.8135724	 23.2630903	 21.5417661	 24.3059054	 23.5532238	 22.5837363	 19.4326803	 21.1423069	 23.2445428	 20.5580207	 21.3674330	 21.9933686
0.4700	 23.9872430	 21.4928116	 19.8825229	 22.3808007	 21.8244687	 20.9488865	 17.9644450	 19.3952605	 21.4848238	 18.8723832	 19.6366745	 20.2468788
0.4800	 22.2590963	 19.8342116	 18.3586290	 20.5991152	 20.2244318	 19.4832021	 16.5341468	 17.7613055	 19.8420399	 17.3915576	 18.0537034	 18.6541960
0.4900	 20.6925903	 18.3334899	 17.0122063	 19.0024099	 18.7981635	 18.2300192	 15.3316644	 16.2871313	 18.3804845	 16.1607185	 16.6680182	 17.2508166
0.5000	 19.3086236	 17.0141099	 15.8707324	 17.6242105	 17.5722824	 17.2158974	 14.3801134	 14.9995066	 17.1188919	 15.2052869	 15.5112289	 16.0709901
0.5100	 18.1581472	 15.9352581	 14.9723887	 16.5230668	 16.6039802	 16.5028823	 13.6007956	 13.9616341	 16.1417100	 14.6055767	 14.6692853	 15.2006777
0.5200	 17.3137554	 15.1417003	 14.3611400	 15.7506175	 15.9468216	 16.1324618	 13.0181651	 13.2408466	 15.5191528	 14.4026518	 14.2051000	 14.6988214
0.5300	 16.8302436	 14.6832460	 14.0615233	 15.3433942	 15.6329764	 16.1061114	 12.8274199	 12.8596135	 15.2728732	 14.6050222	 14.1336568	 14.5704944
0.5400	 16.7173889	 14.5601829	 14.0636953	 15.3031886	 15.6652710	 16.4212068	 13.0339477	 12.8224100	 15.4032410	 15.1914547	 14.4466565	 14.8083156
0.5500	 16.9805857	 14.7660580	 14.3623961	 15.6434507	 16.0481170	 17.0588405	 13.4466991	 13.1289344	 15.8929611	 16.1217262	 15.1137085	 15.3912871
0.5600	 17.6082032	 15.2832164	 14.9305583	 16.3300151	 16.7453662	 17.9624089	 14.0084345	 13.7416737	 16.6851950	 17.3006906	 16.0596071	 16.2468545
0.5700	 18.5342925	 16.0489161	 15.7070399	 17.3009545	 17.6890764	 19.0634798	 14.8183202	 14.5940489	 17.7072867	 18.6485437	 17.2110580	 17.3164325
0.5800	 19.6830267	 16.9988381	 16.6421371	 18.4771488	 18.8219834	 20.3092925	 15.8141072	 15.6312353	 18.8900255	 20.0906480	 18.5047363	 18.5337565
0.5900	 21.0022225	 18.0880954	 17.6909656	 19.8040892	 20.0947810	 21.6533314	 16.7996009	 16.7903993	 20.1652528	 21.5734136	 19.8796528	 19.8423607
0.6000	 22.4213562	 19.2595933	 18.8054990	 21.2015977	 21.4353344	 23.0442704	 17.6977665	 18.0136643	 21.4628031	 23.0274782	 21.2672254	 21.1771780
0.6100	 23.8630889	 20.4595731	 19.9322741	 22.6031677	 22.7925560	 24.4164243	 18.6464001	 19.2383060	 22.7466466	 24.4361429	 22.6393231	 22.5027656
0.6200	 25.3075918	 21.6535415	 21.0551866	 23.9860425	 24.1528242	 25.7845163	 19.6429419	 20.4607631	 24.0202384	 25.8023025	 23.9923804	 23.8045456
0.6300	 26.7261590	 22.8385121	 22.1687977	 25.3390399	 25.5019436	 27.1171847	 20.5669819	 21.6728319	 25.2637254	 27.1260160	 25.3200764	 25.0810802
0.6400	 28.1122140	 24.0074164	 23.2645923	 26.6553902	 26.8260618	 28.4241075	 21.3754649	 22.8702750	 26.4882851	 28.4125015	 26.6119397	 26.3243332
0.6500	 29.4383801	 25.1205734	 24.3125933	 27.9171420	 28.1065591	 29.6715041	 22.2189593	 24.0296865	 27.6895785	 29.6608765	 27.8666103	 27.5281387
0.6600	 30.7111288	 26.1923494	 25.3177537	 29.1562672	 29.3549675	 30.8782756	 23.1726178	 25.1948452	 28.8957748	 30.9078178	 29.1092963	 28.7230248
0.6700	 31.9435887	 27.2268148	 26.2867609	 30.3952149	 30.5768251	 32.0698260	 24.1039441	 26.3658089	 30.1007998	 32.1540771	 30.3543958	 29.9179818
0.6800	 33.1466606	 28.2241129	 27.2223418	 31.6288261	 31.7773993	 33.2333841	 24.9494727	 27.5331445	 31.3058129	 33.4025777	 31.5907035	 31.0979614
0.6900	 34.3164263	 29.1905213	 28.1170668	 32.8557244	 32.9476898	 34.3689764	 25.8676501	 28.6887566	 32.4870652	 34.6432159	 32.8110315	 32.2637960
0.7000	 35.4554224	 30.1359544	 28.9806806	 34.0930047	 34.0940313	 35.4794330	 26.8806846	 29.8537016	 33.6640506	 35.9033687	 34.0316950	 33.4318900
0.7100	 36.5909659	 31.0750802	 29.8371419	 35.3739941	 35.2458413	 36.6120067	 27.8862909	 31.0244609	 34.8422619	 37.1915759	 35.2615510	 34.6145824
0.7200	 37.7163032	 32.0045878	 30.6934605	 36.6649868	 36.3848732	 37.7341774	 28.7728666	 32.1798201	 35.9842284	 38.4743064	 36.4572313	 35.7659249
0.7300	 38.8296148	 32.9297541	 31.5383376	 37.9704378	 37.5168240	 38.8300320	 29.7097390	 33.3084148	 37.0833261	 39.7524627	 37.6269546	 36.9007909
0.7400	 39.9378305	 33.8706477	 32.4090169	 39.3023806	 38.6331112	 39.9504224	 30.7271658	 34.4334164	 38.1671083	 41.0770724	 38.7999898	 38.0421877
0.7500	 41.0631163	 34.8542134	 33.3204689	 40.6899801	 39.8067792	 41.0886020	 31.6682774	 35.5457049	 39.2367412	 42.4084780	 39.9606936	 39.1838333
0.7600	 42.2091967	 35.8686633	 34.2630649	 42.0852648	 40.9636255	 42.2229807	 32.5253199	 36.6541719	 40.2730001	 43.7544260	 41.1022357	 40.3144368
0.7700	 43.3576538	 36.9082294	 35.2385644	 43.4860286	 42.1301362	 43.3572081	 33.4046945	 37.7514598	 41.2925193	 45.0916915	 42.2128154	 41.4333066
0.7800	 44.5161200	 37.9598950	 36.2601976	 44.9267327	 43.3074238	 44.4961615	 34.3803177	 38.8582025	 42.3125735	 46.4534215	 43.3265222	 42.5711494
0.7900	 45.7074282	 39.0690520	 37.3249251	 46.3850110	 44.5149890	 45.6555712	 35.3215434	 39.9858981	 43.3317115	 47.8087231	 44.4445607	 43.7210907
0.8000	 46.9069285	 40.2119285	 38.4191834	 47.8486360	 45.7062383	 46.7921767	 36.1719161	 41.1088197	 44.3409047	 49.1357678	 45.5392928	 44.8636893
0.8100	 48.1116955	 41.3469949	 39.5393106	 49.2893052	 46.8877925	 47.9151783	 37.0242993	 42.2408366	 45.3540139	 50.4643106	 46.6094020	 45.9908255
0.8200	 49.3047621	 42.5043356	 40.6641635	 50.7175730	 48.0747898	 49.0246430	 37.9807118	 43.3775805	 46.3538882	 51.7706246	 47.6944283	 47.1316710
0.8300	 50.5120196	 43.6840080	 41.8139772	 52.1652597	 49.2527015	 50.1259611	 38.9158306	 44.5222662	 47.3653721	 53.0758125	 48.7638185	 48.2753451
0.8400	 51.7248628	 44.8626981	 42.9850700	 53.5981601	 50.4200474	 51.2073219	 39.7349788	 45.6662179	 48.3491606	 54.3699453	 49.8202124	 49.3976421
0.8500	 52.9129707	 46.0231560	 44.1429513	 54.9915898	 51.5626959	 52.2672911	 40.5464643	 46.7967524	 49.3278261	 55.6211762	 50.8622503	 50.4953109
0.8600	 54.0778519	 47.1647445	 45.2940644	 56.3686577	 52.6612569	 53.3005433	 41.4331061	 47.9106535	 50.2976202	 56.8751862	 51.8857068	 51.5810745
0.8700	 55.2245969	 48.3073721	 46.4500605	 57.7272871	 53.7592859	 54.3286990	 42.3334794	 49.0320474	 51.2531259	 58.1092613	 52.8993565	 52.6665697
0.8800	 56.3701656	 49.4452835	 47.6003208	 59.0825420	 54.8450384	 55.3386020	 43.1194641	 50.1209485	 52.1911459	 59.3261538	 53.8969583	 53.7104837
0.8900	 57.4790777	 50.5649071	 48.7186114	 60.3919726	 55.8899404	 56.3238897	 43.8590710	 51.1970525	 53.1156135	 60.5233767	 54.8640232	 54.7403527
0.9000	 58.5572923	 51.6385689	 49.8236900	 61.6676136	 56.9081144	 57.2725244	 44.6617780	 52.2486364	 53.9994743	 61.6810209	 55.8129027	 55.7455796
0.9100	 59.6209569	 52.7068582	 50.9202239	 62.9306879	 57.9140724	 58.2247844	 45.4952042	 53.2957405	 54.8815597	 62.8344967	 56.7593487	 56.7413434
0.9200	 60.6702351	 53.7839151	 52.0155696	 64.1795846	 58.9218878	 59.1652690	 46.2279273	 54.3380048	 55.7528887	 63.9834505	 57.6871837	 57.7194775
0.9300	 61.6950147	 54.8228330	 53.0808482	 65.3800094	 59.8806431	 60.0546097	 46.8780661	 55.3475471	 56.5847962	 65.0862972	 58.5856696	 58.6525864
0.9400	 62.6849649	 55.8187896	 54.1148335	 66.5618410	 60.8230329	 60.9436576	 47.6019119	 56.3311114	 57.4091387	 66.1715633	 59.4779003	 59.5793113
0.9500	 63.6602525	 56.8157622	 55.1344463	 67.7134040	 61.7500723	 61.8196048	 48.3828775	 57.2987564	 58.2006530	 67.2468416	 60.3580949	 60.4956791
0.9600	 64.6213401	 57.8142247	 56.1489601	 68.8639667	 62.6610722	 62.6787620	 49.0686710	 58.2548227	 58.9960715	 68.3175424	 61.2126572	 61.3891621
0.9700	 65.5581310	 58.7754065	 57.1513536	 69.9804361	 63.5538167	 63.5216946	 49.6567806	 59.1895090	 59.7682800	 69.3370872	 62.0387596	 62.2458455
