### Grasense measure data file ###
#
#   Measure Mode : VDS = 0.050 V  × 16 oversample   
#   Sweep variable : VGS
#   Sweep points : 121
#   Active channels : 12
#  
#  
#
#       
#       
#       
#
#     
#       
#    
#
# (V)	A1 (µA) 	A2 (µA) 	A3 (µA) 	A4 (µA) 	A5 (µA) 	A6 (µA) 	B1 (µA) 	B2 (µA) 	B3 (µA) 	B4 (µA) 	B5 (µA) 	B6 (µA) 
0.3300	 46.1224932	 42.6722780	 40.7118906	 46.7256751	 43.5887433	 43.1615331	 36.1352214	 40.9275271	 42.5378576	 41.6421140	 40.7873982	 41.6953021
0.3400	 44.3752466	 40.9880381	 39.0757701	 44.8413222	 41.9626694	 41.4919608	 34.7905602	 39.3494566	 40.9760518	 39.8207548	 39.1205793	 40.0362444
0.3500	 42.5954726	 39.2674589	 37.4078749	 42.9293477	 40.2976651	 39.7915415	 33.3921615	 37.7383530	 39.3782070	 37.9770303	 37.4194603	 38.3398984
0.3600	 40.7729071	 37.5097456	 35.7030387	 40.9783718	 38.5840812	 38.0542755	 32.0433822	 36.0856349	 37.7329169	 36.0762857	 35.6765793	 36.5979729
0.3700	 38.9065811	 35.7072889	 33.9565458	 38.9812367	 36.8290549	 36.2674052	 30.6898773	 34.3878350	 36.0391624	 34.1351879	 33.8710631	 34.7980994
0.3800	 36.9928111	 33.8534639	 32.1614611	 36.9338068	 35.0316198	 34.4357530	 29.1913149	 32.6395926	 34.2869564	 32.1633975	 32.0349504	 32.9566745
0.3900	 35.0511639	 31.9772049	 30.3507131	 34.8722127	 33.2081179	 32.5893462	 27.6327017	 30.8699617	 32.5041309	 30.1830320	 30.1706665	 31.1021796
0.4000	 33.0943446	 30.0970997	 28.5333391	 32.7984457	 31.3585132	 30.7125054	 26.1529650	 29.0677101	 30.6957311	 28.1809127	 28.2868720	 29.2145379
0.4100	 31.1157969	 28.1786282	 26.6874012	 30.6829500	 29.4770941	 28.8117974	 24.6605401	 27.2268024	 28.8443943	 26.1680262	 26.3731778	 27.2899322
0.4200	 29.1218736	 26.2560720	 24.8468782	 28.5665640	 27.5885193	 26.9195266	 23.0389522	 25.3680270	 26.9673386	 24.1768902	 24.4697567	 25.3757730
0.4300	 27.1536328	 24.3656170	 23.0446885	 26.4824617	 25.7180138	 25.0622829	 21.4160529	 23.5146058	 25.1126815	 22.2555487	 22.6095529	 23.5007858
0.4400	 25.2588572	 22.5348328	 21.3169649	 24.4556078	 23.8947082	 23.2673290	 19.9262841	 21.6951405	 23.2976976	 20.4322750	 20.8202357	 21.6822461
0.4500	 23.4425775	 20.7910044	 19.6746464	 22.5051039	 22.1367608	 21.5644641	 18.4998783	 19.9132097	 21.5348702	 18.7360948	 19.1245769	 19.9461149
0.4600	 21.7460577	 19.1719024	 18.1749008	 20.6882365	 20.4890572	 20.0031675	 17.0474564	 18.2138405	 19.8896304	 17.2359539	 17.6000848	 18.3734650
0.4700	 20.2514744	 17.7583800	 16.8741390	 19.0669643	 19.0139312	 18.6555366	 15.7377612	 16.6803653	 18.4371835	 16.0048468	 16.3126630	 17.0317713
0.4800	 19.0088311	 16.5910461	 15.8039181	 17.6879026	 17.7567914	 17.5532933	 14.7044864	 15.3379822	 17.2222978	 15.0866472	 15.3104005	 15.9636137
0.4900	 18.0547920	 15.6975004	 14.9898595	 16.5908448	 16.7501525	 16.7371620	 13.9301448	 14.2341159	 16.3004222	 14.5318782	 14.6472629	 15.2252286
0.5000	 17.4370109	 15.1206685	 14.4673101	 15.8276238	 16.0627554	 16.2631535	 13.3391917	 13.4282774	 15.7331140	 14.3933470	 14.3791363	 14.8775427
0.5100	 17.2141012	 14.9006819	 14.2639567	 15.4458383	 15.7388686	 16.1549831	 13.0400113	 12.9732320	 15.5528739	 14.6766380	 14.5202892	 14.9249043
0.5200	 17.3805622	 15.0240025	 14.3640775	 15.4477375	 15.7844866	 16.4024799	 13.1546070	 12.8696852	 15.7509548	 15.3469962	 15.0314902	 15.3355945
0.5300	 17.9089894	 15.4566971	 14.7471489	 15.8257092	 16.1755455	 16.9821897	 13.6056840	 13.1087974	 16.2946198	 16.3467654	 15.8661146	 16.0692860
0.5400	 18.7693036	 16.1598783	 15.3853117	 16.5513317	 16.8896184	 17.8534240	 14.1921579	 13.6709458	 17.1408608	 17.5984353	 16.9529920	 17.0617013
0.5500	 19.8939200	 17.0803412	 16.2191316	 17.5572787	 17.8545197	 18.9397155	 14.9364626	 14.4885867	 18.2047102	 18.9958250	 18.2057439	 18.2296268
0.5600	 21.1994054	 18.1457434	 17.1945558	 18.7634522	 18.9983628	 20.1812698	 15.8940016	 15.5009537	 19.4160758	 20.4749778	 19.5655289	 19.5171290
0.5700	 22.6314666	 19.3175361	 18.2721487	 20.1128063	 20.2776357	 21.5379691	 16.9552145	 16.6624986	 20.7171977	 21.9998963	 20.9945498	 20.8843197
0.5800	 24.1297176	 20.5465247	 19.4063701	 21.5309383	 21.6364306	 22.9491032	 17.9316564	 17.9010041	 22.0559760	 23.5051042	 22.4263855	 22.2628886
0.5900	 25.6366904	 21.7899868	 20.5635068	 22.9555601	 23.0201075	 24.3699561	 18.8599098	 19.1622524	 23.3715696	 24.9556531	 23.8301932	 23.6093818
